Id,Name,Created at,Updated at
1,News,"May 29, 2017 16:14","May 29, 2017 16:14"
2,Education & Work,"May 29, 2017 16:15","May 29, 2017 16:15"
3,Money,"May 29, 2017 16:15","May 29, 2017 16:15"
4,Entertainment,"May 29, 2017 16:15","May 29, 2017 16:15"
5,Lifestyle,"May 29, 2017 16:16","May 29, 2017 16:16"
6,Sex,"May 29, 2017 16:16","May 29, 2017 16:16"
7,Mazanzi100,"May 29, 2017 16:16","May 29, 2017 16:16"
